,core,peri,log2fc,pvalue
ARMH4,0.047482534107485,0.011723602767867,0.035758931339618,0.056159188794667
C6orf120,0.093788209609735,0.058028292538207,0.035759917071529,0.250020530125317
UBQLN4,0.049893082563092,0.014130800808736,0.035762281754356,0.078273740099999
LDHD,0.035777328620782,0,0.035777328620782,0.014974309888989
SLC25A45,0.057329437463068,0.021539835481331,0.035789601981737,0.118567974785857
EME2,0.049228072101225,0.013419257874292,0.035808814226933,0.072716171732918
ATAT1,0.035809875472592,0,0.035809875472592,0.014785234109369
AL590617.2,0.089175248026421,0.053335080157206,0.035840167869214,0.217056274729371
FAM89A,0.059225476013878,0.023374917522957,0.035850558490921,0.104153167894663
VAMP4,0.059505824400513,0.023642290526869,0.035863533873644,0.109076749139669
AC008014.1,0.041897366539673,0.006020942627985,0.035876423911688,0.034173007554385
STK19,0.067962110607672,0.032080895615059,0.035881214992613,0.152478732894105
MEPCE,0.112252433229747,0.076366856021689,0.035885577208057,0.30769698558547
DPM1,0.068595073639855,0.032700437625756,0.035894636014099,0.158180354285273
C5orf56,0.083695983368481,0.047794969831565,0.035901013536916,0.214987615161367
C2orf74,0.063146428577696,0.027241179779477,0.035905248798218,0.125604291033451
LIPE-AS1,0.05084668491669,0.014941079647762,0.035905605268928,0.085661768147824
HIC1,0.035905931612136,0,0.035905931612136,0.014419581162442
CCDC84-DT,0.035935033209861,0,0.035935033209861,0.014958531069115
POLR1B,0.035944647685586,0,0.035944647685586,0.01474805617601
IGHA1,0.049465065252573,0.013491225685188,0.035973839567385,0.0746286305867
MRTO4,0.047671287749928,0.01169624171893,0.035975046030998,0.055807732968594
UBXN6,0.149162542378097,0.113185540153805,0.035977002224292,0.369519648656885
COQ10A,0.042040132255064,0.006039984417118,0.036000147837946,0.03463488701895
CACNA1A,0.08714290567903,0.051141815640438,0.036001090038592,0.212927721048845
ABHD11,0.113617716952681,0.077600347278917,0.036017369673764,0.287175991070792
HIST1H2AM,0.036027878140031,0,0.036027878140031,0.014765710969378
MIR503HG,0.036033947928622,0,0.036033947928622,0.015086216190653
MAIP1,0.058393026198083,0.022351836351154,0.036041189846929,0.110560186699923
TPRN,0.04207514013566,0.006014934190234,0.036060205945426,0.03424844486507
SLC10A3,0.091233944600606,0.055163646869977,0.036070297730629,0.240211823289685
AL158071.4,0.0421498025177,0.006067345466055,0.036082457051646,0.035856169969605
CBWD3,0.036092255453871,0,0.036092255453871,0.01494598102294
CNNM4,0.048876785495897,0.012782783952714,0.036094001543183,0.065737248667519
HSDL2,0.299100341253542,0.262999446110155,0.036100895143387,0.55908914116133
UBA6-AS1,0.036117709108978,0,0.036117709108978,0.015225595775257
BRMS1L,0.041956523403379,0.00580811518152,0.036148408221859,0.03308693863711
AC099343.3,0.057774143094209,0.021617495136144,0.036156647958065,0.101878473504104
KPTN,0.041323818232479,0.00515511413872,0.036168704093759,0.029416505690354
CD163L1,0.048233971855383,0.012063356603299,0.036170615252084,0.057588136086696
KIF13A,0.227643282514681,0.191470211860223,0.036173070654458,0.49258493245906
CDK2,0.042303236705165,0.006110445884915,0.03619279082025,0.035198395321427
ZFYVE9,0.036247570388369,0,0.036247570388369,0.01455287469031
MGAT2,0.049913759066209,0.013658366372109,0.036255392694101,0.073908535432911
MAPK1IP1L,0.310105975981036,0.273844520937303,0.036261455043733,0.556878962116657
BLZF1,0.084862346792946,0.048599362002993,0.036262984789954,0.215927238561334
INKA1,0.059392823802046,0.023128529626578,0.036264294175468,0.100606274097219
FAM117B,0.048971888272616,0.01268991012659,0.036281978146026,0.065172047802575
LINC01970,0.07308584725924,0.036801508026168,0.036284339233071,0.150208142098171
ZDHHC16,0.036294255339336,0,0.036294255339336,0.015666321875451
ZNF574,0.042138707583539,0.005820064160204,0.036318643423334,0.032827002656473
MIR100HG,0.036323253047928,0,0.036323253047928,0.014962315470176
CEP131,0.042433906741897,0.006105460669491,0.036328446072406,0.034598945025539
LINC01023,0.036363784738858,0,0.036363784738858,0.014982674522164
CPSF7,0.227813286556793,0.191404198431999,0.036409088124794,0.486970402308222
NEU3,0.036419499534717,0,0.036419499534717,0.015699159901213
AL390728.6,0.048769041017568,0.01234652688235,0.036422514135218,0.061042725187089
TMEM150B,0.036433568052973,0,0.036433568052973,0.014374663897688
